AÑO,ENTIDAD,Clave_Entidad,SEXO,POBLACION,EDAD_PROMEDIO
1972,Baja California Sur,BCS,Mujeres,72891,21.71963617
1972,Baja California Sur,BCS,Total,149752,21.82267961
1972,Baja California Sur,BCS,Hombres,76861,21.92572306
1972,Campeche,CAMP,Hombres,151355,21.98854349
1972,Campeche,CAMP,Mujeres,148511,21.42765182
1972,Campeche,CAMP,Total,299866,21.70809766
1972,Chiapas,CHIA,Hombres,913382,20.31854689
1972,Chiapas,CHIA,Mujeres,884592,20.13828296
1972,Chiapas,CHIA,Total,1797974,20.22841493
1972,Chihuahua,CH,Hombres,891995,21.77347855
1972,Chihuahua,CH,Total,1771088,21.95354791
1972,Chihuahua,CH,Mujeres,879093,22.13361726
1972,Ciudad de México,CDMX,Mujeres,3956651,23.69668111
1972,Ciudad de México,CDMX,Hombres,3721289,21.87332051
1972,Ciudad de México,CDMX,Total,7677940,22.78500081
1972,Coahuila,COH,Hombres,633403,21.93244901
1972,Coahuila,COH,Mujeres,620201,22.31688436
1972,Coahuila,COH,Total,1253604,22.12466669
1972,Colima,COL,Total,273713,21.74909512
1972,Colima,COL,Mujeres,135839,21.97468326
1972,Colima,COL,Hombres,137874,21.52350697
1972,Durango,DGO,Mujeres,507978,21.40282453
1972,Durango,DGO,Hombres,526497,21.25932911
1972,Durango,DGO,Total,1034475,21.33107682
1972,Guanajuato,GJ,Total,2545490,21.40365155
1972,Guanajuato,GJ,Mujeres,1267263,21.6896761
1972,Guanajuato,GJ,Hombres,1278227,21.11762699
1972,Guerrero,GUE,Hombres,914813,20.66518185
1972,Guerrero,GUE,Total,1825874,20.88154209
1972,Guerrero,GUE,Mujeres,911061,21.09790234
1972,Hidalgo,HDGO,Hombres,675148,21.44694941
1972,Hidalgo,HDGO,Total,1340299,21.73223061
1972,Hidalgo,HDGO,Mujeres,665151,22.01751181
1972,Jalisco,JAL,Total,3716401,21.86435832
