AÑO,ENTIDAD,Clave_Entidad,SEXO,POBLACION,EDAD_PROMEDIO
2015,Baja California,BC,Mujeres,1696306,30
2015,Baja California,BC,Hombres,1709856,29
1997,Baja California,BC,Hombres,1150708,25
2066,Baja California,BC,Total,5238767,47
2066,Baja California,BC,Mujeres,2557842,47
2066,Baja California,BC,Hombres,2680925,47
2053,Baja California,BC,Total,5169833,43
2011,Baja California,BC,Total,3241111,28
2011,Baja California,BC,Mujeres,1606704,28
1997,Baja California,BC,Total,2269215,25
2051,Baja California,BC,Hombres,2620678,42
2016,Baja California,BC,Mujeres,1735383,30
1979,Baja California,BC,Total,1161912,23
2016,Baja California,BC,Total,3490609,30
2050,Baja California,BC,Total,5113344,42
1997,Baja California,BC,Mujeres,1118507,25
2018,Baja California,BC,Mujeres,1819712,31
2018,Baja California,BC,Hombres,1854722,30
2063,Baja California,BC,Total,5244651,46
2017,Baja California,BC,Total,3581745,30
2017,Baja California,BC,Mujeres,1777162,30
1980,Baja California,BC,Total,1195693,23
2017,Baja California,BC,Hombres,1804583,30
1996,Baja California,BC,Hombres,1110076,25
1996,Baja California,BC,Total,2192097,25
2059,Baja California,BC,Total,5235243,45
2059,Baja California,BC,Mujeres,2558013,45
2059,Baja California,BC,Hombres,2677230,45
1979,Baja California,BC,Hombres,578145,22
1979,Baja California,BC,Mujeres,583767,23
1980,Baja California,BC,Hombres,594881,23
2033,Baja California,BC,Hombres,2309269,36
2032,Baja California,BC,Mujeres,2207802,36
2043,Baja California,BC,Mujeres,2417371,40
1973,Baja California,BC,Mujeres,500344,22
1970,Baja California,BC,Mujeres,458693,21
2070,Baja California,BC,Mujeres,2542389,48
2035,Baja California,BC,Mujeres,2273388,37
2035,Baja California,BC,Hombres,2355747,36
2030,Baja California,BC,Total,4398675,35
2028,Baja California,BC,Hombres,2186070,34
2034,Baja California,BC,Hombres,2332537,36
1971,Baja California,BC,Mujeres,472547,21
2044,Baja California,BC,Total,4966606,40
2043,Baja California,BC,Total,4936851,40
2042,Baja California,BC,Hombres,2503130,39
2038,Baja California,BC,Hombres,2424275,37
2038,Baja California,BC,Mujeres,2332908,38
2038,Baja California,BC,Total,4757183,38
2040,Baja California,BC,Hombres,2466328,38
2040,Baja California,BC,Mujeres,2368934,39
2042,Baja California,BC,Mujeres,2401967,40
1973,Baja California,BC,Total,999566,22
2070,Baja California,BC,Total,5213291,48
2039,Baja California,BC,Mujeres,2351301,39
2069,Baja California,BC,Hombres,2674555,47
2069,Baja California,BC,Mujeres,2547239,48
1970,Baja California,BC,Hombres,458634,21
2040,Baja California,BC,Total,4835262,39
2030,Baja California,BC,Hombres,2237642,34
2039,Baja California,BC,Hombres,2445878,38
2039,Baja California,BC,Total,4797179,38
1973,Baja California,BC,Hombres,499222,22
2035,Baja California,BC,Total,4629135,37
2036,Baja California,BC,Hombres,2378903,37
2036,Baja California,BC,Mujeres,2293938,37
2036,Baja California,BC,Total,4672841,37
1970,Baja California,BC,Total,917327,21
2070,Baja California,BC,Hombres,2670902,48
1980,Baja California,BC,Mujeres,600812,23
2030,Baja California,BC,Mujeres,2161033,35
2041,Baja California,BC,Hombres,2485425,38
2043,Baja California,BC,Hombres,2519480,39
1974,Baja California,BC,Hombres,512774,22
2046,Baja California,BC,Total,5020892,41
2046,Baja California,BC,Mujeres,2458993,41
2046,Baja California,BC,Hombres,2561899,40
2028,Baja California,BC,Mujeres,2111893,34
2028,Baja California,BC,Total,4297963,34
1974,Baja California,BC,Mujeres,514392,22
1974,Baja California,BC,Total,1027166,22
2033,Baja California,BC,Total,4539559,36
2033,Baja California,BC,Mujeres,2230290,36
2037,Baja California,BC,Total,4715623,37
2037,Baja California,BC,Mujeres,2313783,38
2037,Baja California,BC,Hombres,2401840,37
1971,Baja California,BC,Hombres,472145,21
2032,Baja California,BC,Hombres,2285827,35
2032,Baja California,BC,Total,4493629,36
2041,Baja California,BC,Total,4871246,39
2034,Baja California,BC,Total,4584700,36
1972,Baja California,BC,Mujeres,486396,22
1972,Baja California,BC,Total,972053,22
2031,Baja California,BC,Total,4446749,35
2031,Baja California,BC,Mujeres,2184712,36
2029,Baja California,BC,Hombres,2212407,34
2029,Baja California,BC,Mujeres,2136768,35
2029,Baja California,BC,Total,4349175,34
2031,Baja California,BC,Hombres,2262037,35
2045,Baja California,BC,Hombres,2548674,40
2045,Baja California,BC,Mujeres,2445880,41
2045,Baja California,BC,Total,4994554,40
1971,Baja California,BC,Total,944692,21
2042,Baja California,BC,Total,4905097,39
2034,Baja California,BC,Mujeres,2252163,37
2044,Baja California,BC,Mujeres,2432007,40
2041,Baja California,BC,Mujeres,2385821,39
2002,Baja California,BC,Hombres,1345202,26
2003,Baja California,BC,Hombres,1384258,26
1985,Baja California,BC,Total,1450232,23
1991,Baja California,BC,Total,1807719,24
1989,Baja California,BC,Hombres,843766,24
1975,Baja California,BC,Hombres,526190,22
1975,Baja California,BC,Mujeres,528385,22
1975,Baja California,BC,Total,1054575,22
2062,Baja California,BC,Hombres,2681981,45
2026,Baja California,BC,Total,4189285,33
2026,Baja California,BC,Mujeres,2060092,34
2026,Baja California,BC,Hombres,2129193,33
2062,Baja California,BC,Mujeres,2562319,46
2062,Baja California,BC,Total,5244300,46
1990,Baja California,BC,Mujeres,858476,24
1990,Baja California,BC,Total,1735043,24
1991,Baja California,BC,Hombres,913637,24
1991,Baja California,BC,Mujeres,894082,24
1988,Baja California,BC,Hombres,814399,24
2061,Baja California,BC,Mujeres,2561627,46
1976,Baja California,BC,Total,1081578,22
1989,Baja California,BC,Total,1671850,24
2022,Baja California,BC,Hombres,2000031,31
1993,Baja California,BC,Hombres,991089,24
1993,Baja California,BC,Mujeres,968860,25
1993,Baja California,BC,Total,1959949,24
1977,Baja California,BC,Hombres,552314,22
1977,Baja California,BC,Mujeres,555907,22
1977,Baja California,BC,Total,1108221,22
2021,Baja California,BC,Mujeres,1920718,32
2047,Baja California,BC,Hombres,2574484,41
2021,Baja California,BC,Hombres,1969207,31
1994,Baja California,BC,Hombres,1030646,24
1994,Baja California,BC,Mujeres,1007046,25
1994,Baja California,BC,Total,2037692,25
1988,Baja California,BC,Total,1616184,24
1976,Baja California,BC,Hombres,539375,22
2022,Baja California,BC,Mujeres,1948170,32
1989,Baja California,BC,Mujeres,828084,24
1990,Baja California,BC,Hombres,876567,24
2020,Baja California,BC,Hombres,1942589,31
2067,Baja California,BC,Hombres,2679469,47
1978,Baja California,BC,Mujeres,569687,23
2067,Baja California,BC,Total,5234449,47
2049,Baja California,BC,Total,5091977,42
1978,Baja California,BC,Total,1134847,22
1995,Baja California,BC,Hombres,1070105,25
1995,Baja California,BC,Total,2115146,25
2049,Baja California,BC,Mujeres,2493687,42
2049,Baja California,BC,Hombres,2598290,41
2063,Baja California,BC,Hombres,2682380,46
1995,Baja California,BC,Mujeres,1045041,25
2063,Baja California,BC,Mujeres,2562271,47
1978,Baja California,BC,Hombres,565160,22
2002,Baja California,BC,Mujeres,1302474,26
1972,Baja California,BC,Hombres,485657,22
2020,Baja California,BC,Mujeres,1896030,31
2019,Baja California,BC,Mujeres,1862700,31
2027,Baja California,BC,Hombres,2158385,33
2047,Baja California,BC,Mujeres,2471337,41
2019,Baja California,BC,Total,3767720,31
2047,Baja California,BC,Total,5045821,41
2068,Baja California,BC,Total,5228818,48
2068,Baja California,BC,Mujeres,2551442,48
2068,Baja California,BC,Hombres,2677376,47
2025,Baja California,BC,Total,4131619,33
2025,Baja California,BC,Mujeres,2033119,33
2021,Baja California,BC,Total,3889925,31
2022,Baja California,BC,Total,3948201,32
2061,Baja California,BC,Total,5242698,46
1988,Baja California,BC,Mujeres,801785,24
1992,Baja California,BC,Total,1883269,24
2067,Baja California,BC,Mujeres,2554980,48
2020,Baja California,BC,Total,3838619,31
2060,Baja California,BC,Total,5239725,45
2060,Baja California,BC,Hombres,2679531,45
2025,Baja California,BC,Hombres,2098500,33
2050,Baja California,BC,Hombres,2609675,42
2019,Baja California,BC,Hombres,1905020,30
1992,Baja California,BC,Hombres,952068,24
2056,Baja California,BC,Total,5211251,44
2056,Baja California,BC,Mujeres,2546928,44
2056,Baja California,BC,Hombres,2664323,44
2004,Baja California,BC,Total,2802054,26
2004,Baja California,BC,Mujeres,1379411,27
2004,Baja California,BC,Hombres,1422643,26
1983,Baja California,BC,Mujeres,671211,23
1983,Baja California,BC,Hombres,670755,23
2007,Baja California,BC,Hombres,1518869,27
2007,Baja California,BC,Mujeres,1485972,27
2010,Baja California,BC,Total,3194264,28
2010,Baja California,BC,Mujeres,1581910,28
2010,Baja California,BC,Hombres,1612354,28
2000,Baja California,BC,Hombres,1268049,25
2000,Baja California,BC,Mujeres,1227906,26
2003,Baja California,BC,Total,2724975,26
1982,Baja California,BC,Hombres,643753,23
1985,Baja California,BC,Mujeres,722928,24
1984,Baja California,BC,Total,1395314,23
1985,Baja California,BC,Hombres,727304,23
2002,Baja California,BC,Total,2647676,26
2055,Baja California,BC,Hombres,2657697,43
2055,Baja California,BC,Mujeres,2541685,44
2055,Baja California,BC,Total,5199382,44
2006,Baja California,BC,Total,2943650,27
2006,Baja California,BC,Mujeres,1452919,27
2006,Baja California,BC,Hombres,1490731,27
2005,Baja California,BC,Total,2877276,27
2064,Baja California,BC,Hombres,2682318,46
2011,Baja California,BC,Hombres,1634407,28
2064,Baja California,BC,Mujeres,2561507,47
2064,Baja California,BC,Total,5243825,46
1984,Baja California,BC,Hombres,698612,23
1984,Baja California,BC,Mujeres,696702,24
